0 	 0.467301 	 0.471252 
1 	 0.466653 	 0.470639 
2 	 0.465095 	 0.469164 
3 	 0.463439 	 0.467596 
4 	 0.461800 	 0.466044 
5 	 0.460200 	 0.464528 
6 	 0.458692 	 0.463098 
7 	 0.456968 	 0.461465 
8 	 0.455335 	 0.459916 
9 	 0.453589 	 0.458262 
10 	 0.452029 	 0.456784 
11 	 0.450147 	 0.455001 
12 	 0.449365 	 0.454261 
13 	 0.447494 	 0.452488 
14 	 0.445621 	 0.450710 
15 	 0.443671 	 0.448863 
16 	 0.441554 	 0.446856 
17 	 0.439556 	 0.444960 
18 	 0.437438 	 0.442950 
19 	 0.435213 	 0.440841 
20 	 0.432976 	 0.438718 
21 	 0.431412 	 0.437235 
22 	 0.429045 	 0.434992 
23 	 0.426724 	 0.432790 
24 	 0.426208 	 0.432300 
25 	 0.423730 	 0.429948 
26 	 0.421225 	 0.427574 
27 	 0.420213 	 0.426618 
28 	 0.417714 	 0.424250 
29 	 0.416672 	 0.423265 
30 	 0.413930 	 0.420664 
31 	 0.411522 	 0.418382 
32 	 0.408741 	 0.415744 
33 	 0.405825 	 0.412979 
34 	 0.402871 	 0.410177 
35 	 0.399827 	 0.407290 
36 	 0.396791 	 0.404411 
37 	 0.393930 	 0.401701 
38 	 0.391034 	 0.398958 
39 	 0.388040 	 0.396123 
40 	 0.385153 	 0.393388 
41 	 0.382184 	 0.390577 
42 	 0.379351 	 0.387896 
43 	 0.376286 	 0.384996 
44 	 0.372749 	 0.381646 
45 	 0.369127 	 0.378216 
46 	 0.365474 	 0.374759 
47 	 0.362301 	 0.371757 
48 	 0.358486 	 0.368148 
49 	 0.354644 	 0.364514 
50 	 0.351460 	 0.361505 
51 	 0.348202 	 0.358426 
52 	 0.344280 	 0.354718 
53 	 0.340952 	 0.351576 
54 	 0.336907 	 0.347754 
55 	 0.333592 	 0.344625 
56 	 0.330264 	 0.341484 
57 	 0.326976 	 0.338381 
58 	 0.323656 	 0.335251 
59 	 0.320334 	 0.332120 
60 	 0.316128 	 0.328156 
61 	 0.312795 	 0.325014 
62 	 0.308518 	 0.320986 
63 	 0.304237 	 0.316956 
64 	 0.299964 	 0.312934 
65 	 0.296655 	 0.309824 
66 	 0.293342 	 0.306710 
